Task,Dir,Model,Flip (Ext),Flip (Int),sFID,Face ID %,Face Cosine,L1,L2,L1.5
Smiling,0 -> 1,MyModel_CBM_50,0.8439,0.8266,11.86,0,0,0.0379,0.0587,0.0481
Smiling,0 -> 1,Baseline_50,0.8919,0.4981,13.09,0,0,0.0684,0.0999,0.0842
Smiling,1 -> 0,MyModel_CBM_50,0.6991,0.7673,17.09,0,0,0.0404,0.0628,0.0511
Smiling,1 -> 0,Baseline_50,0.7136,0.4356,14.06,0,0,0.0682,0.0979,0.0831
Smiling,0 -> 1,MyModel_CBM_20,0.7823,0.5828,12.14,0,0,0.0355,0.054,0.0447
Smiling,0 -> 1,Baseline_20,0.2709,0.1011,12.69,0,0,0.0663,0.097,0.0816
Smiling,1 -> 0,MyModel_CBM_20,0.6378,0.5711,15.06,0,0,0.0373,0.0572,0.0469
Smiling,1 -> 0,Baseline_20,0.2383,0.1006,10.39,0,0,0.0656,0.0944,0.08
Smiling,0 -> 1,MyModel_CBM_10,0.5172,0.2341,11.58,0,0,0.0331,0.0495,0.0413
Smiling,0 -> 1,Baseline_10,0.2784,0.0967,12.33,0,0,0.066,0.0968,0.0814
Smiling,1 -> 0,MyModel_CBM_10,0.4203,0.2369,12.52,0,0,0.035,0.0524,0.0435
Smiling,1 -> 0,Baseline_10,0.2448,0.1048,10.11,0,0,0.0656,0.0946,0.0801
Young,0 -> 1,MyModel_CBM_50,0.8528,0.7762,13.3,0,0,0.042,0.0626,0.0523
Young,0 -> 1,Baseline_50,0.9411,0.5514,13.93,0,0,0.0689,0.0996,0.0843
Young,1 -> 0,MyModel_CBM_50,0.7109,0.3883,20.15,0,0,0.0427,0.0649,0.0537
Young,1 -> 0,Baseline_50,0.8634,0.2767,15.88,0,0,0.0678,0.0981,0.083
Young,0 -> 1,MyModel_CBM_20,0.7652,0.4812,11.6,0,0,0.037,0.0543,0.0457
Young,0 -> 1,Baseline_20,0.6261,0.2133,12.14,0,0,0.0667,0.0968,0.0818
Young,1 -> 0,MyModel_CBM_20,0.4964,0.1516,16.63,0,0,0.0375,0.0557,0.0466
Young,1 -> 0,Baseline_20,0.2269,0.038,11.69,0,0,0.0659,0.0957,0.0808
Young,0 -> 1,MyModel_CBM_10,0.6361,0.2209,10.44,0,0,0.0337,0.0489,0.0413
Young,0 -> 1,Baseline_10,0.6305,0.2175,11.89,0,0,0.0667,0.0967,0.0817
Young,1 -> 0,MyModel_CBM_10,0.2703,0.0389,12.77,0,0,0.0337,0.0493,0.0415
Young,1 -> 0,Baseline_10,0.2266,0.0372,11.19,0,0,0.0655,0.0953,0.0804
