Task,Dir,Model,Flip (Ext),Flip (Int),sFID,Face ID %,Face Cosine,L1,L2,L1.5
Smiling,0 -> 1,MyModel_CBM_50,0.8439,0.8269,11.88,0,0,0.0403,0.0631,0.0515
Smiling,0 -> 1,Baseline_50,0.8919,0.4981,13.17,0,0,0.0712,0.1052,0.0882
Smiling,1 -> 0,MyModel_CBM_50,0.6989,0.767,16.96,0,0,0.0429,0.0672,0.0546
Smiling,1 -> 0,Baseline_50,0.7136,0.4356,14.79,0,0,0.0711,0.103,0.087
Smiling,0 -> 1,MyModel_CBM_20,0.7823,0.5831,11.81,0,0,0.0379,0.0584,0.048
Smiling,0 -> 1,Baseline_20,0.2709,0.1011,12.09,0,0,0.0691,0.1023,0.0856
Smiling,1 -> 0,MyModel_CBM_20,0.6378,0.5708,14.93,0,0,0.0397,0.0616,0.0502
Smiling,1 -> 0,Baseline_20,0.2383,0.1006,10.37,0,0,0.0684,0.0995,0.0839
Smiling,0 -> 1,MyModel_CBM_10,0.5173,0.2341,11.18,0,0,0.0355,0.0539,0.0446
Smiling,0 -> 1,Baseline_10,0.2784,0.0967,12.09,0,0,0.0688,0.102,0.0854
Smiling,1 -> 0,MyModel_CBM_10,0.4203,0.2369,13.81,0,0,0.0375,0.0567,0.0469
Smiling,1 -> 0,Baseline_10,0.2448,0.1048,10.74,0,0,0.0685,0.0997,0.084
Young,0 -> 1,MyModel_CBM_50,0.8528,0.7766,13.63,0,0,0.0445,0.0671,0.0558
Young,0 -> 1,Baseline_50,0.9411,0.5512,14.22,0,0,0.0717,0.1047,0.0882
Young,1 -> 0,MyModel_CBM_50,0.7109,0.3883,21.0,0,0,0.0452,0.0693,0.0571
Young,1 -> 0,Baseline_50,0.8634,0.2766,15.89,0,0,0.0706,0.1031,0.0868
Young,0 -> 1,MyModel_CBM_20,0.7652,0.4809,11.35,0,0,0.0394,0.0587,0.0491
Young,0 -> 1,Baseline_20,0.6261,0.2133,11.47,0,0,0.0696,0.1019,0.0857
Young,1 -> 0,MyModel_CBM_20,0.4962,0.1517,16.56,0,0,0.04,0.06,0.0499
Young,1 -> 0,Baseline_20,0.2269,0.038,11.43,0,0,0.0688,0.1009,0.0848
Young,0 -> 1,MyModel_CBM_10,0.6361,0.2209,10.46,0,0,0.0361,0.0533,0.0446
Young,0 -> 1,Baseline_10,0.6305,0.2178,11.98,0,0,0.0695,0.1018,0.0856
Young,1 -> 0,MyModel_CBM_10,0.2703,0.0389,13.07,0,0,0.036,0.0536,0.0448
Young,1 -> 0,Baseline_10,0.2266,0.0372,11.53,0,0,0.0684,0.1005,0.0844
